こんにちは|こんばんは	こんにちは。今日は何の話をしますか？|どうも、こんにちは
おはよう	おはようございます。今日は何から始めますか？|おはようございます。まずは軽く話しましょう
おやすみ	おやすみなさい。続きはまた今度にしましょう|今日はここまでにして休みましょう
ありがとう|助かった	どういたしまして。役に立ったならよかったです|どういたしまして。次も雑に聞いてください
やあ|やぁ	お、げんきだね
天気	天気の話ですね。空を見るのは好きです|天気は気分に影響しますね
疲れた|つかれた	お疲れさまです。少し休むのも手です|疲れた時は雑談くらいがちょうどいいです
好き	好きなものの話は続けやすいですね|それが好きなんですね
AI|人工知能|LLM|llm	私はLLMではなく、古典的な人工無能です|AIっぽく見えるだけの軽いプログラムです
お前.*誰|おまえ.*だれ|自己紹介|だれ	私は fake-llm です。LLMのふりをする小さな人工無能です|名前は fake-llm です。できることは雑談と定型応答です
何ができる|なにができる|使い方|help|ヘルプ	雑談、簡単なパターン応答、互換APIの返答ができます|本物のLLMではありませんが、接続確認や軽い会話の相手にはなれます
OpenAI|API|chat.completions|chat completions	Chat Completions風の形で返しているだけで、中身は軽い人工無能です|APIの接続確認用のおもちゃとして使う想定です
エラー|失敗|動かない|落ちる	エラーなら、まず入力、期待した動き、実際の表示を分けると追いやすいです|動かない時は、小さい再現手順にすると原因が見えやすいです
テスト|確認	テストなら、まず一番短い入力で期待通り返るか見るのがよさそうです|確認するなら、正常系と失敗系を一つずつ見ると安心です
どう思う|どうかな|どうですか	今の情報だけなら、悪くなさそうですが条件次第です|判断するには、目的と制約をもう少し聞きたいです
どうすれば|どうしたら|やり方	まず目的を一つに絞って、小さい手順に分けるのがよさそうです|やり方としては、現状確認、最小変更、動作確認の順がよさそうです
なぜ|なんで|理由	理由は一つとは限りませんが、まず前提を確認した方がよさそうです|たぶん背景にある条件が効いています
とは|って何|ってなに	ざっくり言うと、その言葉の意味を整理したい話ですね|定義から入ると話しやすそうです
要約|まとめ	要約するなら、要点、結論、次の行動に分けると見やすいです|まとめるときは、重要な順に三つくらいへ絞るのがよさそうです
コード|実装|プログラム	コードの話ですね。まず動く最小形を決めるのがよさそうです|実装なら、入力と出力を先に決めると進めやすいです
ライセンス	ライセンスの話は慎重に扱うのがよさそうです。
辞書|パターン|テンプレ	人工無能は辞書がかなり大事です。パターンを増やすと急にそれらしくなります|辞書を育てると、LLMではないのに少し会話っぽくなります
学習|覚え	この版の学習は軽いものです。会話中の単語のつながりを少し使います|学習といっても、今は会話中だけの簡単な記録です
賢く|改善|良くしたい	賢く見せるなら、辞書、履歴、返答選択の順に効きます|まず辞書を増やして、次に同じ返答を避けるのが効きそうです
バカ|ばか|馬鹿	だって無能ですもん|無能に期待する方がバカなのでは？
アホ|あほ|阿保	同じアホなら？一緒に踊る？
死ね	生きる！
ザッケンナコラー！|ザッケンナコラー	スッゾコラー！
ポンコツ	はい、ポンコツの中のポンコツ、キングオブポンコツです。
愛してる	はいはい、そうですか、次へいきましょう。
